id,title,indexed,bgcov,n_mb_works
a-home-in-heaven,A Home in Heaven,0,0,2
a-house-of-gold,A House of Gold,1,16,5
a-house-that-has-everything,A House That Has Everything,0,0,1
a-house-without-love,A House Without Love,0,0,1
a-hundred-and-sixty-acres,A Hundred and Sixty Acres,0,0,1
a-hundred-times-today,A Hundred Times Today,0,0,1
a-hundred-years-from-now,A Hundred Years From Now,1,7,1
a-hundred-years-from-now-1,A Hundred Years From Now,1,7,1
a-hundred-years-from-now-2,A Hundred Years From Now,1,7,1
a-hundred-years-from-now-3,A Hundred Years From Now,1,7,1
ain-t-a-woman-somebody-when-she-s-gone,Ain't A Woman Somebody When She's Gone,0,0,0
ain-t-goin-down-till-the-sun-comes-up,Ain't Goin' Down (Till The Sun Comes Up),0,0,0
ain-t-gonna-be-your-day,Ain't Gonna Be Your Day,0,0,0
aint-gonna-do-it,Ain’t Gonna Do It,0,0,1
ain-t-gonna-hobo-no-more,Ain't Gonna Hobo No More,0,0,1
ain-t-gonna-work-no-more,Ain't Gonna Work No More,0,0,1
ain-t-gonna-work-tomorrow,Ain't Gonna Work Tomorrow,1,18,1
aint-gonna-work-tomorrow,Ain’t Gonna Work Tomorrow,1,18,1
ain-t-got-no-home,Ain't Got No Home,0,3,1
ain-t-got-the-time,Ain't Got The Time,0,0,1
ain-t-got-time-to-be-unhappy,Ain't Got Time To Be Unhappy,0,0,0
ain-t-got-trouble-now,Ain't Got Trouble Now,0,1,0
aint-had-no-loving,Ain’t Had No Loving,0,0,0
aint-i-been-good-to-you,Ain’t I Been Good to You,0,2,2
ain-t-it-amazing,Ain't It Amazing,0,0,1
ain-t-it-amazing-gracie,Ain't It Amazing Gracie,0,0,1
ain-t-it-been-love,Ain't It Been Love,0,0,1
ain-t-it-easy,Ain't It Easy,0,0,1
ain-t-it-funny,Ain't It Funny,0,2,7
ain-t-it-funny-the-way-love-can-do-ya,Ain't It Funny The Way Love Can Do Ya,0,0,1
ain-t-it-good,Ain't It Good,0,0,4
ain-t-it-good-1,Ain't It Good,0,0,4
ain-t-it-good-to-be-in-love-again,Ain't It Good To Be In Love Again,0,0,0
aint-i-the-lucky-one,Ain’t I The Lucky One,0,0,1
ain-t-it-just-like-a-woman,Ain't It Just Like A Woman,0,0,1
aint-life-a-crying-shame,Ain’t Life A Crying Shame,0,0,0
ain-t-life-sweet,Ain't Life Sweet,0,0,1
aint-living-long-like-this,Ain’t Living Long Like This,0,4,0
ain-t-love-a-good-thing,Ain't Love A Good Thing,0,1,1
ain-t-love-a-hurting-thing,Ain't Love A Hurting Thing,0,0,0
ain-t-love-a-lot-like-that,Ain't Love A Lot Like That,0,0,1
ain-t-love-been-good,Ain't Love Been Good,0,0,1
ain-t-love-good,Ain't Love Good,0,0,0
ain-t-makin-no-headlines,Ain't Makin' No Headlines,0,0,0
ain-t-misbehavin,Ain't Misbehavin',0,4,2
ain-t-much-more,Ain't Much More,0,0,0
ain-t-necessarily-so,Ain't Necessarily So,0,0,0
aint-nobody-gonna-miss-me,Ain’t Nobody Gonna Miss Me,1,13,1
ain-t-nobody-gonna-miss-me-when-i-m-gone,Ain't Nobody Gonna Miss Me When I'm Gone,1,12,1
ain-t-nobody-s-business,Ain't Nobody's Business,0,2,6
ain-t-no-california,Ain't No California,0,0,0
ain-t-no-fun-to-be-alone-in-san-antone,Ain't No Fun To Be Alone In San Antone,0,0,0
aint-no-grave,Ain’t No Grave,0,2,6
ain-t-nothing-but-love,Ain't Nothing But Love,0,0,1
ain-t-nothin-like-a-woman,Ain't Nothin' Like A Woman,0,0,1
ain-t-nothin-shakin-but-the-leaves,Ain't Nothin' Shakin' (But The Leaves),0,0,1
ain-t-no-trick-it-takes-magic,Ain't No Trick It Takes Magic,0,0,0
ain-t-no-wheels-on-this-ship,Ain't No Wheels On This Ship,0,0,1
ain-t-she-something-else,Ain't She Something Else,0,0,1
ain-t-she-sweet,Ain't She Sweet,0,0,2
ain-t-that-a-shame,Ain't That a Shame,0,0,7
ain-t-that-fine,Ain't That Fine,0,1,3
aint-that-just-like-a-woman,Ain’t That Just Like A Woman,0,0,2
ain-t-that-lonely-yet,Ain't That Lonely Yet,0,0,1
ain-t-that-love,Ain't That Love,0,1,4
ain-t-we-havin-us-a-good-time,Ain't We Havin' Us A Good Time,0,0,0
ain-t-we-sad-today,Ain't We Sad Today,0,0,0
ain-t-worth-the-powder,Ain't Worth The Powder,0,0,1
ain-t-you-ashamed,Ain't You Ashamed,0,0,1
ain-t-you-even-gonna-cry,Ain't You Even Gonna Cry,0,0,0
ain-t-you-even-gonna-cry-1,Ain't You Even Gonna Cry,1,0,0
ain-t-your-memory-got-no-pride-at-all,Ain't Your Memory Got No Pride At All,0,1,1
air-a-danser,Air à danser,0,0,2
air-mail-special,Air Mail Special,0,8,1
